icon 0: {'type': 'text', 'bbox': [0.3418150842189789, 0.8947574496269226, 0.4664970338344574, 0.9061033129692078], 'interactivity': False, 'content': '4/13 00:00-4/18 24:00', 'source': 'box_ocr_content_ocr'}
icon 19: {'type': 'icon', 'bbox': [0.5912574529647827, 0.115651436150074, 0.784297525882721, 0.14625655114650726], 'interactivity': True, 'content': 'A push pin or pinning tool.', 'source': 'box_yolo_content_yolo'}
icon 20: {'type': 'icon', 'bbox': [0.6421601176261902, 0.9035595059394836, 0.7528907060623169, 0.9606291055679321], 'interactivity': True, 'content': 'A symbol or symbol related to writing or a message.', 'source': 'box_yolo_content_yolo'}
icon 21: {'type': 'icon', 'bbox': [0.024958563968539238, 0.11207564175128937, 0.14259307086467743, 0.1496770977973938], 'interactivity': True, 'content': 'adding a new item or creating something new.', 'source': 'box_yolo_content_yolo'}
icon 22: {'type': 'icon', 'bbox': [0.016791056841611862, 0.4284666180610657, 0.49487775564193726, 0.6484508514404297], 'interactivity': True, 'content': 'A video game or video game.', 'source': 'box_yolo_content_yolo'}
icon 23: {'type': 'icon', 'bbox': [0.7852837443351746, 0.11600519716739655, 0.8898797631263733, 0.14593946933746338], 'interactivity': True, 'content': 'A red background with a white line or symbol.', 'source': 'box_yolo_content_yolo'}
icon 24: {'type': 'icon', 'bbox': [0.8049614429473877, 0.9035825133323669, 0.9869496822357178, 0.9649287462234497], 'interactivity': True, 'content': 'A symbol or symbol related to a user interface or account.', 'source': 'box_yolo_content_yolo'}
icon 25: {'type': 'icon', 'bbox': [0.042356543242931366, 0.9087066054344177, 0.15595248341560364, 0.961474597454071], 'interactivity': True, 'content': 'A symbol or logo, possibly related to a user profile or account.', 'source': 'box_yolo_content_yolo'}
icon 26: {'type': 'icon', 'bbox': [0.45485126972198486, 0.9083935022354126, 0.5465613603591919, 0.9589118957519531], 'interactivity': True, 'content': 'A chat or messaging application.', 'source': 'box_yolo_content_yolo'}
icon 27: {'type': 'icon', 'bbox': [0.5199176073074341, 0.4687005281448364, 0.9707854390144348, 0.5033107995986938], 'interactivity': True, 'content': 'A switch to a file.', 'source': 'box_yolo_content_yolo'}
icon 28: {'type': 'icon', 'bbox': [0.14054755866527557, 0.11106426268815994, 0.2706444561481476, 0.15062877535820007], 'interactivity': True, 'content': 'Adding a new item or creating a new message.', 'source': 'box_yolo_content_yolo'}
icon 29: {'type': 'icon', 'bbox': [0.2711215913295746, 0.1131909117102623, 0.42425253987312317, 0.14765235781669617], 'interactivity': True, 'content': 'Adding a new item or element.', 'source': 'box_yolo_content_yolo'}
icon 30: {'type': 'icon', 'bbox': [0.2555291950702667, 0.9043282866477966, 0.3461802899837494, 0.961144208908081], 'interactivity': True, 'content': 'A bookmark or bookmark function.', 'source': 'box_yolo_content_yolo'}
icon 31: {'type': 'icon', 'bbox': [0.4290664792060852, 0.11423107981681824, 0.584543764591217, 0.1461830735206604], 'interactivity': True, 'content': 'A symbol or symbol related to a new item or item.', 'source': 'box_yolo_content_yolo'}
icon 32: {'type': 'icon', 'bbox': [0.5768340229988098, 0.06659553945064545, 0.6855801343917847, 0.10536574572324753], 'interactivity': True, 'content': 'a blank space or screen.', 'source': 'box_yolo_content_yolo'}
icon 33: {'type': 'icon', 'bbox': [0.5116231441497803, 0.4280467629432678, 0.9817965030670166, 0.47199827432632446], 'interactivity': True, 'content': 'A red folder or file.', 'source': 'box_yolo_content_yolo'}
icon 34: {'type': 'icon', 'bbox': [0.9113782048225403, 0.11731026321649551, 0.9963889122009277, 0.14671839773654938], 'interactivity': True, 'content': 'a checkmark indicating a task or confirmation.', 'source': 'box_yolo_content_yolo'}
